SupplierID,ShipperID,CategoryID,ProductID,CustomerID,EmployeeID,OrderID,OrderDetailID,Quantity,OrderDate,LastName,FirstName,BirthDate,Photo,Notes,CustomerName,CustomerContactName,CustomerAddress,CustomerCity,CustomerPostalCode,CustomerCountry,ProductName,Unit,Price,CategoryName,Description,ShipperName,Phone.x,SupplierName,SupplierContactName,SupplierAddress,SupplierCity,SupplierPostalCode,SupplierCountry,SupplierPhone
1,3,1,2,24,6,10264,48,35,7/24/96,Suyama,Michael,7/2/63,EmpID6.pic,"Michael is a graduate of Sussex University (MA, economics) and the University of California at Los Angeles (MBA, marketing). He has also taken the courses 'Multi-Cultural Selling' and 'Time Management for the Sales Professional'. He is fluent in Japanese and can read and write French, Portuguese, and Spanish.",Folk och fä HB,Maria Larsson,Åkergatan 24,Bräcke,S-844 67,Sweden,Chang,24 - 12 oz bottles,19,Beverages,"Soft drinks, coffees, teas, beers, and ales",Federal Shipping,(503) 555-9931,Exotic Liquid,Charlotte Cooper,49 Gilbert St.,Londona,EC1 4SD,UK,(171) 555-2222
1,1,1,1,62,7,10406,421,10,1/7/97,King,Robert,5/29/60,EmpID7.pic,"Robert King served in the Peace Corps and traveled extensively before completing his degree in English at the University of Michigan and then joining the company. After completing a course entitled 'Selling in Europe', he was transferred to the London office.",Queen Cozinha,Lúcia Carvalho,"Alameda dos Canàrios, 891",São Paulo,05487-020,Brazil,Chais,10 boxes x 20 bags,18,Beverages,"Soft drinks, coffees, teas, beers, and ales",Speedy Express,(503) 555-9831,Exotic Liquid,Charlotte Cooper,49 Gilbert St.,Londona,EC1 4SD,UK,(171) 555-2222
1,2,1,1,41,3,10413,440,24,1/14/97,Leverling,Janet,8/30/63,EmpID3.pic,Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative.,La maison d'Asie,Annette Roulet,1 rue Alsace-Lorraine,Toulouse,31000,France,Chais,10 boxes x 20 bags,18,Beverages,"Soft drinks, coffees, teas, beers, and ales",United Package,(503) 555-3199,Exotic Liquid,Charlotte Cooper,49 Gilbert St.,Londona,EC1 4SD,UK,(171) 555-2222
1,3,1,2,68,9,10255,21,20,7/12/96,Dodsworth,Anne,7/2/69,EmpID9.pic,Anne has a BA degree in English from St. Lawrence College. She is fluent in French and German.,Richter Supermarkt,Michael Holz,Grenzacherweg 237,Genève,1203,Switzerland,Chang,24 - 12 oz bottles,19,Beverages,"Soft drinks, coffees, teas, beers, and ales",Federal Shipping,(503) 555-9931,Exotic Liquid,Charlotte Cooper,49 Gilbert St.,Londona,EC1 4SD,UK,(171) 555-2222
1,2,1,2,37,6,10298,135,40,9/5/96,Suyama,Michael,7/2/63,EmpID6.pic,"Michael is a graduate of Sussex University (MA, economics) and the University of California at Los Angeles (MBA, marketing). He has also taken the courses 'Multi-Cultural Selling' and 'Time Management for the Sales Professional'. He is fluent in Japanese and can read and write French, Portuguese, and Spanish.",Hungry Owl All-Night Grocers,Patricia McKenna,8 Johnstown Road,Cork,,Ireland,Chang,24 - 12 oz bottles,19,Beverages,"Soft drinks, coffees, teas, beers, and ales",United Package,(503) 555-3199,Exotic Liquid,Charlotte Cooper,49 Gilbert St.,Londona,EC1 4SD,UK,(171) 555-2222
1,2,1,2,37,7,10335,232,7,10/22/96,King,Robert,5/29/60,EmpID7.pic,"Robert King served in the Peace Corps and traveled extensively before completing his degree in English at the University of Michigan and then joining the company. After completing a course entitled 'Selling in Europe', he was transferred to the London office.",Hungry Owl All-Night Grocers,Patricia McKenna,8 Johnstown Road,Cork,,Ireland,Chang,24 - 12 oz bottles,19,Beverages,"Soft drinks, coffees, teas, beers, and ales",United Package,(503) 555-3199,Exotic Liquid,Charlotte Cooper,49 Gilbert St.,Londona,EC1 4SD,UK,(171) 555-2222
1,1,2,3,47,1,10405,420,50,1/6/97,Davolio,Nancy,12/8/68,EmpID1.pic,Education includes a BA in psychology from Colorado State University. She also completed (The Art of the Cold Call). Nancy is a member of 'Toastmasters International'.,LINO-Delicateses,Felipe Izquierdo,Ave. 5 de Mayo Porlamar,I. de Margarita,4980,Venezuela,Aniseed Syrup,12 - 550 ml bottles,10,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Speedy Express,(503) 555-9831,Exotic Liquid,Charlotte Cooper,49 Gilbert St.,Londona,EC1 4SD,UK,(171) 555-2222
1,2,1,1,63,1,10285,100,45,8/20/96,Davolio,Nancy,12/8/68,EmpID1.pic,Education includes a BA in psychology from Colorado State University. She also completed (The Art of the Cold Call). Nancy is a member of 'Toastmasters International'.,QUICK-Stop,Horst Kloss,Taucherstraße 10,Cunewalde,1307,Germany,Chais,10 boxes x 20 bags,18,Beverages,"Soft drinks, coffees, teas, beers, and ales",United Package,(503) 555-3199,Exotic Liquid,Charlotte Cooper,49 Gilbert St.,Londona,EC1 4SD,UK,(171) 555-2222
1,1,1,1,48,6,10317,185,20,9/30/96,Suyama,Michael,7/2/63,EmpID6.pic,"Michael is a graduate of Sussex University (MA, economics) and the University of California at Los Angeles (MBA, marketing). He has also taken the courses 'Multi-Cultural Selling' and 'Time Management for the Sales Professional'. He is fluent in Japanese and can read and write French, Portuguese, and Spanish.",Lonesome Pine Restaurant,Fran Wilson,89 Chiaroscuro Rd.,Portland,97219,USA,Chais,10 boxes x 20 bags,18,Beverages,"Soft drinks, coffees, teas, beers, and ales",Speedy Express,(503) 555-9831,Exotic Liquid,Charlotte Cooper,49 Gilbert St.,Londona,EC1 4SD,UK,(171) 555-2222
1,3,1,1,58,8,10354,283,12,11/14/96,Callahan,Laura,1/9/58,EmpID8.pic,Laura received a BA in psychology from the University of Washington. She has also completed a course in business French. She reads and writes French.,Pericles Comidas clásicas,Guillermo Fernández,Calle Dr. Jorge Cash 321,México D.F.,5033,Mexico,Chais,10 boxes x 20 bags,18,Beverages,"Soft drinks, coffees, teas, beers, and ales",Federal Shipping,(503) 555-9931,Exotic Liquid,Charlotte Cooper,49 Gilbert St.,Londona,EC1 4SD,UK,(171) 555-2222
